Predicted_SOH,Condition
4.197376583085713,Healthy
4.141872526067438,Healthy
4.517539720643979,Healthy
4.391425316168469,Healthy
4.332927342129946,Healthy
4.2221650191246844,Healthy
4.138255752770734,Healthy
4.56223909082614,Healthy
4.425868387182557,Healthy
4.293970378601928,Healthy
4.269891167230853,Healthy
4.249358874655462,Healthy
4.137303845410949,Healthy
4.572008911445691,Healthy
4.388718872975405,Healthy
4.234036495857655,Healthy
4.150448285760193,Healthy
4.027951889797516,Healthy
4.576939441800718,Healthy
4.451620365248255,Healthy
4.309408355267803,Healthy
4.197646087949543,Healthy
4.023909955658087,Healthy
3.8987386174959107,Healthy
4.577446729483181,Healthy
4.371731224481779,Healthy
4.259062334349133,Healthy
4.15626279773961,Healthy
4.102373098758815,Healthy
4.039138545859924,Healthy
4.581867490598123,Healthy
4.391670526505611,Healthy
4.208416025399101,Healthy
4.169455603614024,Healthy
4.123461193198443,Healthy
4.595380968345266,Healthy
4.438199689968665,Healthy
4.3288699814677525,Healthy
4.241332670543294,Healthy
4.165788334109568,Healthy
4.053237976464075,Healthy
4.418683006332749,Healthy
4.252753115603235,Healthy
4.183524269186599,Healthy
4.116472089422508,Healthy
4.064212708758181,Healthy
3.8638378631928436,Healthy
4.440766131828393,Healthy
4.302605767461447,Healthy
4.273724322022875,Healthy
4.206795487042125,Healthy
3.9375941801056835,Healthy
4.628322322810996,Healthy
4.443701261792899,Healthy
4.2860284459140505,Healthy
4.122763133893275,Healthy
4.006042724004416,Healthy
4.590222330322179,Healthy
4.442108161063027,Healthy
4.339873101390709,Healthy
4.28679085382567,Healthy
4.204995198696827,Healthy
4.080457488703205,Healthy
4.602123242239986,Healthy
4.45038921329518,Healthy
4.371331048281938,Healthy
4.317033258373508,Healthy
4.243576540613043,Healthy
4.174400220157011,Healthy
4.48003596064265,Healthy
4.394235655325122,Healthy
4.349466171786425,Healthy
4.259848113735572,Healthy
4.221025165669477,Healthy
4.594794208369868,Healthy
4.385468402588641,Healthy
4.360464928559646,Healthy
4.303561792880325,Healthy
4.280376433091998,Healthy
4.187492987968275,Healthy
4.582229851725311,Healthy
4.406673756967667,Healthy
4.2076898440462465,Healthy
4.169113037787513,Healthy
4.072752788187481,Healthy
4.623073688061037,Healthy
4.462649713436311,Healthy
4.3325252941886685,Healthy
4.267931755258418,Healthy
4.074012125385252,Healthy
3.94176841899245,Healthy
4.582478617769643,Healthy
4.398430295892142,Healthy
4.240053873854606,Healthy
4.148504271678635,Healthy
4.1362524495620425,Healthy
4.073081575219375,Healthy
4.60809890670392,Healthy
4.428514298017344,Healthy
4.243724140206677,Healthy
4.245509661894928,Healthy
4.145502067995233,Healthy
4.617062314852882,Healthy
4.447130938999543,Healthy
4.356465666704533,Healthy
4.262202846349674,Healthy
4.235130507864637,Healthy
4.1539564099107675,Healthy
4.480327496602875,Healthy
4.246627384027452,Healthy
4.19843434370851,Healthy
4.127303162688438,Healthy
4.0815892112155066,Healthy
3.9087233125329712,Healthy
4.434154434658016,Healthy
4.304607378390983,Healthy
4.307689985472585,Healthy
4.191309552459844,Healthy
3.9921120020458885,Healthy
4.628669583766849,Healthy
4.476956053142304,Healthy
4.294248290905273,Healthy
4.1894761183509095,Healthy
4.067097912096063,Healthy
4.539915083843045,Healthy
4.425406352128066,Healthy
4.4213199334733435,Healthy
4.343754361500028,Healthy
4.2296923129517925,Healthy
4.101809884620728,Healthy
4.629733482700631,Healthy
4.482428387671284,Healthy
4.370027346533338,Healthy
4.318499190064469,Healthy
4.259477147589701,Healthy
4.182107187687034,Healthy
4.529080591872922,Healthy
4.40601966258785,Healthy
4.345564237274495,Healthy
4.2807993162930735,Healthy
4.21235126683271,Healthy
4.600895590915195,Healthy
4.404458359753724,Healthy
4.319279754920737,Healthy
4.347854726719445,Healthy
4.280962984394204,Healthy
4.193866697254106,Healthy
4.566556624087362,Healthy
4.438664045439335,Healthy
4.252021325387697,Healthy
4.189438619353805,Healthy
4.120256980321482,Healthy
4.617937188369457,Healthy
4.45832449750343,Healthy
4.332664646297372,Healthy
4.251335245544111,Healthy
4.007002953431578,Healthy
3.9321208551442313,Healthy
4.534061623753198,Healthy
4.384308887489835,Healthy
4.266947184764781,Healthy
4.176332845811416,Healthy
4.125837890042392,Healthy
4.124890301063188,Healthy
4.575196148885075,Healthy
4.4360839006098125,Healthy
4.276646237973601,Healthy
4.26807981099318,Healthy
4.1480957028050085,Healthy
4.594100428367715,Healthy
4.436885907873758,Healthy
4.347869059443388,Healthy
4.297370063499223,Healthy
4.222473951172735,Healthy
4.0769861472554805,Healthy
4.4209795466252935,Healthy
4.282855627421283,Healthy
4.22819193344364,Healthy
4.165494490968668,Healthy
4.135895563921672,Healthy
3.97080759165659,Healthy
4.436100003802263,Healthy
4.323709752749531,Healthy
4.308380206808932,Healthy
4.1862824520350514,Healthy
3.9945118685898864,Healthy
4.596730694140305,Healthy
4.489603510714348,Healthy
4.310086026457494,Healthy
4.147303055281355,Healthy
4.0702194796891265,Healthy
4.52751835068053,Healthy
4.417463099100212,Healthy
4.355342665631825,Healthy
4.334076858368662,Healthy
4.228507554261127,Healthy
4.115110664986245,Healthy
4.588994559917404,Healthy
4.47082923229536,Healthy
4.356775613398877,Healthy
4.338628230709602,Healthy
4.261386245107601,Healthy
4.1605924974709065,Healthy
4.533709042323119,Healthy
4.389278576768895,Healthy
4.365196404455149,Healthy
4.296918694006496,Healthy
4.200674927790941,Healthy
4.548574084532955,Healthy
4.4142721305647745,Healthy
4.338630693746199,Healthy
4.314578395518967,Healthy
4.2850529616459285,Healthy
4.202543241200858,Healthy
4.564923459040747,Healthy
4.409630122404463,Healthy
4.256932078474085,Healthy
4.160084732009769,Healthy
4.093246476530012,Healthy
4.554799821074681,Healthy
4.416704755491525,Healthy
4.307292895150352,Healthy
4.247399994330625,Healthy
4.084542732684031,Healthy
4.031061498063695,Healthy
4.536429098535645,Healthy
4.393416955932835,Healthy
4.2641212807954565,Healthy
4.237950730306554,Healthy
4.125720457894077,Healthy
4.092694655809812,Healthy
4.525005408949891,Healthy
4.417262858415806,Healthy
4.27015208460462,Healthy
4.284353375822812,Healthy
4.144138925894567,Healthy
4.558441042600596,Healthy
4.4311972789503,Healthy
4.331363862879803,Healthy
4.28570432992998,Healthy
4.2327102176602445,Healthy
4.11394302888819,Healthy
4.446801418426081,Healthy
4.294791678833474,Healthy
4.1981919045587635,Healthy
4.182849372620689,Healthy
4.060315398462802,Healthy
3.979839298233787,Healthy
4.409099159574592,Healthy
4.302710654995934,Healthy
4.31126489160801,Healthy
4.154542117789885,Healthy
4.02081988068997,Healthy
4.559713566540599,Healthy
4.440158179924741,Healthy
4.325692274537503,Healthy
4.220003771489148,Healthy
4.129044635073773,Healthy
4.50678218750837,Healthy
4.407649935682092,Healthy
4.325993167935333,Healthy
4.321938649450294,Healthy
4.239480219349109,Healthy
4.180897717842359,Healthy
4.526449515425942,Healthy
4.417990594517689,Healthy
4.372360308554019,Healthy
4.341885990348847,Healthy
4.290129816731786,Healthy
4.237369107270784,Healthy
4.476850869530062,Healthy
4.355845350661164,Healthy
4.369995614634123,Healthy
4.3098062485272175,Healthy
4.2868429236082095,Healthy
4.490574207855691,Healthy
4.412972929491147,Healthy
4.3006106609373145,Healthy
4.356002072340814,Healthy
4.259422857771238,Healthy
4.2450193921641075,Healthy
4.5200511826620815,Healthy
4.4179712395127115,Healthy
4.248292464035748,Healthy
4.178003232071614,Healthy
4.168695124807865,Healthy
4.525623617492081,Healthy
4.417265395192322,Healthy
4.2977370960181425,Healthy
4.266538806694638,Healthy
4.179792671402714,Healthy
4.18881357945846,Healthy
4.507002195374097,Healthy
4.377042044284658,Healthy
4.238881754984861,Healthy
4.206474974053972,Healthy
4.142845359081372,Healthy
4.123883160124749,Healthy
4.48566995666462,Healthy
4.398927217034426,Healthy
4.270601736830948,Healthy
4.221277508379015,Healthy
4.235931650179595,Healthy
4.53917876312204,Healthy
4.389109391557962,Healthy
4.320784183394364,Healthy
4.304154077506567,Healthy
4.247821661157666,Healthy
4.263083309062349,Healthy
4.416482868249287,Healthy
4.251465473546328,Healthy
4.185275732843499,Healthy
