Mat,No.,ID,Qn,Q,Pt,SOC,SOE,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,SOH
NMC,24,H3-100,2.1,1.8995,5,5,4.522619047619048,0.004468085106383413,0.011255043533659581,0.00613093934749287,0.005220796171415465,0.00468085106382965,0.014997887621462702,0.019378280177634544,0.019448946515396415,0.004045135192676241,0.021036974075648196,0.008952551477171333,0.017920353982301407,0.0038273442483518494,0.0058687906099352816,0.04786934484700467,0.06247647722995886,0.004047720494248175,0.0352767215885077,0.012237358577696256,0.002938517179023492,0.0038273442483518494,0.9045238095238095
NMC,25,H3-200,2.1,1.8332,5,5,4.364761904761905,0.0072340425531916,0.015926948396686846,0.022334136194437804,0.020230585164236814,0.006595744680851112,0.007182087029995898,0.006257569640694349,0.00830632090761707,0.006599957419629376,0.020399490012749766,0.03536257833482548,0.03230088495575245,0.006591537316606555,0.007126388597778366,0.021588135911394524,0.029168234851336905,0.005965061780996983,0.04900718208702948,0.053105518356037607,0.05605786618444775,0.0072294280246651965,0.8729523809523809
NMC,26,H3-400,2.1,1.7239,5,5,4.104523809523809,0.01914893617021285,0.026332554682523046,0.04685789358441017,0.044376767457037225,0.01978723404255245,0.02281368821292773,0.004440855874041638,0.0032414910858991064,0.017883755588673722,0.020399490012749766,0.07005371530886251,0.06725663716814267,0.019774611949819665,0.024732760427583322,0.009386146048432131,0.02107640195709415,0.01725607158074194,0.033375580904097646,0.0981297621796351,0.10714285714285765,0.02105039336593606,0.8209047619047619
NMC,27,H3-500,2.1,1.6369,5,5,3.897380952380952,0.036808510638298486,0.03567636440857935,0.06984891613750843,0.07417881226887069,0.03765957446808521,0.04773975496408944,0.016955995155430337,0.014586709886547311,0.035767511177347444,0.04738631534211635,0.0971351835273051,0.09955752212389424,0.03827344248352027,0.03772793963529608,0.01802140041298994,0.029168234851336905,0.03493821900298233,0.07794676806083611,0.12883860540291003,0.12748643761301892,0.040825005315755725,0.7794761904761904
NMC,28,H3-600,2.1,1.5406,5,5,3.668095238095238,0.0527659574468089,0.05924824803567663,0.09240201445149943,0.09353926473787144,0.0534042553191485,0.06210392902408124,0.025635849818328893,0.030186385737438926,0.05088354268682149,0.0696982575435614,0.12287376902417257,0.12146017699115053,0.054008079948968835,0.05386711381261744,0.02384081096301749,0.03669552126458431,0.05091606305922536,0.09695817490494285,0.15839298083583486,0.15280289330922336,0.057410163725281294,0.7336190476190476
NMC,29,H4-100,2.1,1.8972,5,5,4.517142857142857,0.004468085106383413,0.012529199405394209,0.002846507554193245,0.008048727430932878,0.004042553191489162,0.0038022813688218804,0.02260799354057408,0.01884116693679072,0.0034064296359375135,0.011049723756905827,0.0029095792300797285,0.0006637168141603311,0.00467786519243063,0.007126388597778366,0.05481509292284592,0.06774557771923195,0.003408606731999164,0.042458808618503596,0.0023089355806966694,0.0,0.0038273442483518494,0.9034285714285714
NMC,30,H4-200,2.1,1.8208,5,5,4.335238095238095,0.0072340425531916,0.0040348269271612835,0.01773593168381815,0.01805525342614711,0.008085106382979212,0.018800168990282806,0.012515139281389587,0.007698541329011377,0.005961251862891537,0.005949851253718386,0.026410026857655033,0.026769911504425536,0.00786731873272295,0.023475162439740238,0.03266378824854499,0.04027098231087756,0.005965061780996983,0.043303760033797545,0.0380974370815057,0.037070524412296635,0.007867318732723838,0.867047619047619
NMC,31,H4-300,2.1,1.757,5,5,4.183333333333334,0.013191489361703113,0.013803355277128837,0.025837530107291506,0.025451381335653167,0.013191489361701336,0.013096746937051762,0.014937424303593794,0.017017828200971863,0.011283798169044346,0.008499787505312106,0.03827215756490521,0.03716814159292081,0.01318307463321311,0.021379165793335098,0.03379012577435603,0.04140007527286471,0.010651896037494168,0.049852133502323426,0.05656892172708439,0.07640144665461257,0.013820965341270863,0.8366666666666666
NMC,32,H4-400,2.1,1.6401,5,5,3.905,0.034255319148936536,0.04013590995965188,0.05977665863805548,0.057863824233194805,0.03574468085106375,0.0430925221799745,0.025030278562778285,0.02897082658022665,0.03385139450713215,0.043986400339990794,0.08124440465532601,0.07831858407079739,0.03550924941526734,0.04359673024523136,0.034353294537262435,0.03669552126458431,0.03302087771623441,0.06485002112378524,0.10898175940891264,0.1114376130198913,0.036785030831383736,0.7809999999999999
NMC,33,H4-500,2.1,1.4317,5,5,3.4088095238095235,0.07255319148936223,0.08239541303886178,0.10181738559229281,0.09701979551881657,0.07319148936170183,0.07329953527672206,0.060153411384739286,0.06665316045380898,0.07196082605918619,0.07756056098597508,0.129140555058191,0.1241150442477883,0.07442058260684714,0.08845105847830581,0.06701708278580742,0.07941287165976707,0.07200681721346491,0.12378538234051462,0.1662433618102046,0.16116636528028927,0.07718477567510096,0.6817619047619047
NMC,34,H4-600,2.1,1.286,5,5,3.0619047619047617,0.08702127659574543,0.0908897855170947,0.13028246113422437,0.1266043071568408,0.08787234042553127,0.09484579636670887,0.059345983044004846,0.06665316045380898,0.08665105386416894,0.09944751381215422,0.16517457475380581,0.16747787610619458,0.08887943865617665,0.09096625445399287,0.05875727426318722,0.06473466315393317,0.08585428206220769,0.12251795521757458,0.2091895636111758,0.19145569620253156,0.09228152243248999,0.6123809523809524
NMC,35,I3-100,2.1,1.9383,5,5,4.614999999999999,0.0,0.007220216606499186,0.0019706590759795972,0.0,0.0,0.0,0.014937424303593794,0.012560777957859592,0.0,0.014449638759030492,0.00559534467323175,0.011061946902654718,0.0,0.0,0.04317627182278905,0.050244636808431054,0.0,0.017743979721165815,0.009466635880858831,0.004972875226039619,0.0,0.9229999999999999
NMC,36,I3-200,2.1,1.8665,5,5,4.444047619047619,0.005319148936170137,0.013803355277128837,0.022334136194437804,0.020883184685664524,0.0059574468085097365,0.008449514152935933,0.002422285022204207,0.0,0.005322546306152809,0.008499787505312106,0.037600716204118534,0.03628318584070822,0.005953646608547913,0.005239991616012851,0.015768725361366087,0.023334587881069346,0.005325948018747084,0.03929024081115262,0.05726160240129197,0.06103074141048914,0.005953646608547913,0.8888095238095238
NMC,37,I3-300,2.1,1.8076,5,5,4.303809523809524,0.004468085106383413,0.011892121469526451,0.02452375738997148,0.02762671307374287,0.005319148936170137,0.005703422053232821,0.0,0.0026337115072934125,0.004045135192676241,0.01827454313642196,0.04230080572963324,0.04048672566371714,0.005315755900489272,0.004611192622092197,0.012201989862962392,0.0244636808430565,0.003408606731999164,0.03400929446556766,0.06742091895636015,0.05899638336347124,0.005953646608547913,0.8607619047619047
NMC,38,I3-400,2.1,1.745,5,5,4.154761904761905,0.022340425531915287,0.0310044595455512,0.05561637836654221,0.053948227104632984,0.022553191489361524,0.025348542458808687,0.0006055712555514958,0.0014181523500811366,0.021290185224611236,0.03739906502337398,0.08124440465532601,0.07831858407079739,0.022964065490112873,0.022217564451897154,0.0,0.0,0.020451640391990544,0.06020278833966941,0.113137843454167,0.1283905967450263,0.02509036785030805,0.830952380952381
NMC,39,I3-500,2.1,1.6856,5,5,4.013333333333334,0.020425531914894712,0.02378424293905379,0.04620100722574971,0.04785729823798057,0.02127659574468055,0.02471482889733867,0.008679854662899444,0.011952998379253899,0.01916116670215029,0.0169995750106251,0.06938227394807406,0.07278761061946959,0.02168828407399559,0.022846363445817808,0.015768725361366087,0.02277004140007577,0.018534299105240848,0.03464300802703857,0.10020780420226316,0.1001356238698019,0.024452477142249407,0.8026666666666666
NMC,40,I3-600,2.1,1.6119,5,5,3.8378571428571426,0.04872340425531885,0.057974092163941116,0.09305890081015988,0.09027626713073644,0.05085106382978655,0.04964089564850038,0.014937424303593794,0.01823338735818414,0.04769001490312963,0.05461113472163159,0.1242166517457477,0.1296460176991161,0.05145651711673427,0.049465520855166645,0.007696639759713797,0.021640948438088614,0.04686834256497718,0.0773130544993661,0.15908566151004422,0.16184448462929524,0.054645970657027476,0.7675714285714286
